2017 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2018),2017 Passengers (10% sample)
344,IFP,Laughlin/Bullhead International,Bullhead City,AZ,184.31,201.58, 410 
345,OTH,Southwest Oregon Regional,North Bend/Coos Bay,OR,388.81,425.24, 383 
346,YAK,Yakutat Airport,Yakutat,AK,381.29,417.02, 366 
347,PQI,Northern Maine Regional at Presque Isle,Presque Isle/Houlton,ME,654.80,716.16, 356 
348,WYS,Yellowstone,West Yellowstone,MT,226.77,248.02, 319 
349,CEC,Jack McNamara Field,Crescent City,CA,356.85,390.29, 274 
350,MWA,Veterans Airport of Southern Illinois,Marion/Herrin,IL,499.09,545.85, 263 
351,HOM,Homer Airport,Homer,AK,763.20,834.71, 254 
352,PIR,Pierre Regional,Pierre,SD,694.94,760.05, 253 
353,LNY,Lanai Airport,Lanai,HI,630.92,690.04, 235 
354,LEB,Lebanon Municipal,Lebanon-Hanover,NH,476.42,521.06, 227 
355,AUG,Augusta State,Augusta/Waterville,ME,440.39,481.65, 201 
356,CGI,Cape Girardeau Regional,Cape Girardeau,MO,504.49,551.76, 191 
357,UIN,Quincy Regional-Baldwin Field,Quincy,IL,457.83,500.73, 185 
358,BHB,Hancock County-Bar Harbor,Bar Harbor,ME,496.66,543.20, 164 
359,RIW,Riverton Regional,Riverton/Lander,WY,652.99,714.18, 157 
360,RUT,Rutland - Southern Vermont Regional,Rutland,VT,447.54,489.47, 142 
361,EAR,Kearney Regional,Kearney,NE,580.80,635.23, 141 
362,RKD,Knox County Regional,Rockland,ME,456.54,499.32, 133 
363,VDZ,Valdez Pioneer Field,Valdez,AK,764.27,835.88, 121 
364,GST,Gustavus Airport,Gustavus,AK,240.90,263.48, 116 
365,JHM,Kapalua Airport,Kapalua,HI,673.63,736.74, 112 
365,PVC,Provincetown Municipal,Provincetown,MA,394.10,431.02, 112 
367,LMT,Crater Lake Klamath Regional,Klamath Falls,OR,377.88,413.29, 109 
368,CDB,Cold Bay Airport,Cold Bay,AK,824.62,901.89, 108 
369,SDP,Sand Point,Sandpoint,AK,956.98,1046.65, 106 
370,IRK,Kirksville Regional,Kirksville,MO,439.39,480.56, 101 
371,LBF,North Platte Regional Airport Lee Bird Field,North Platte,NE,591.91,647.37, 97 
372,SLK,Adirondack Regional,Saranac Lake/Lake Placid,NY,492.57,538.72, 91 
373,BFF,Western Neb. Regional/William B. Heilig Field,Scottsbluff,NE,581.65,636.15, 85 
373,PUB,Pueblo Memorial,Pueblo,CO,227.76,249.10, 85 
375,MAZ,Eugenio Maria de Hostos,Mayaguez,PR,525.73,574.99, 84 
376,PGA,Page Municipal,Page,AZ,616.59,674.37, 82 
377,ATY,Watertown Regional,Watertown,SD,533.13,583.09, 81 
378,VQS,Antonio Rivera Rodriguez,Vieques,PR,511.65,559.59, 77 
379,ADK,Adak,Adak Island,AK,1021.80,1117.54, 71 
380,FMN,Four Corners Regional,Farmington,NM,627.95,686.79, 57 
381,SDY,Sidney Richland Regional,Sidney,MT,575.63,629.57, 54 
382,CYS,Cheyenne Regional/Jerry Olson Field,Cheyenne,WY,562.57,615.28, 46 
382,MSS,Massena International-Richards Field,Massena,NY,480.03,525.01, 46 
384,ALS,San Luis Valley Regional/Bergman Field,Alamosa,CO,614.03,671.56, 36 
384,TEX,Telluride Regional,Telluride,CO,570.07,623.48, 36 
386,LBL,Liberal Mid-America Regional,Liberal,KS,643.94,704.28, 29 
386,VEL,Vernal Regional,Vernal,UT,627.84,686.67, 29 
388,PRC,Ernest A. Love Field,Prescott,AZ,533.07,583.02, 27 
388,DDC,Dodge City Regional,Dodge City,KS,591.75,647.20, 27 
390,MCK,McCook Ben Nelson Regional,McCook,NE,638.93,698.80, 26 
390,ROP,Benjamin Taisacan Manglona International,Rota,TT,1683.25,1840.97, 26 
392,CNY,Canyonlands Field,Moab,UT,535.33,585.49, 25 
393,IPL,Imperial County,El Centro,CA,343.78,375.99, 22 
394,CDR,Chadron Municipal,Chadron,NE,522.00,570.91, 19 
394,SNP,St. Paul Island,St. Paul,AK,1013.00,1107.92, 19 
396,CEZ,Cortez Municipal,Cortez,CO,572.80,626.47, 16 
396,MSL,Northwest Alabama Regional,Muscle Shoals,AL,438.40,479.48, 16 
398,AIA,Alliance Municipal,Alliance,NE,504.02,551.25, 14 
398,GGW,Wokal Field/Glasgow International,Glasgow,MT,518.75,567.36, 14 
400,HVR,Havre City-County,Havre,MT,547.30,598.58, 13 
401,MCG,McGrath Airport,McGrath,AK,1822.00,1992.72, 11 
401,CNM,Cavern City Air Terminal,Carlsbad,NM,468.44,512.33, 11 
401,MCE,Merced Regional/Macready Field,Merced,CA,418.61,457.84, 11 
401,OLF,L. M. Clayton,Wolf Point,MT,717.30,784.51, 11 
405,IYK,Inyokern Airport,Inyokern,CA,1211.05,1324.53, 9 
406,CVN,Clovis Municipal,Clovis,NM,660.73,722.64, 8 
406,TVF,Thief River Falls Regional,Thief River Falls,MN,593.26,648.85, 8 
408,GDV,Dawson Community,Glendive,MT,552.50,604.27, 7 
409,GLH,Greenville Mid Delta,Greenville,MS,540.75,591.42, 6 
410,SOW,Show Low Regional,Show Low,AZ,593.87,649.52, 5 
411,SVC,Grant County,Silver City/Hurley,NM,579.44,633.74, 2 
411,DUJ,DuBois Regional,DuBois,PA,573.75,627.51, 2 
413,GAL,Edward G. Pitka Sr.,Galena,AK,1419.00,1551.96, 1 
413,ANI,Aniak Airport,Aniak,AK,952.00,1041.20, 1 
413,KKI,Akiachak Airport,Akiachak,AK,658.50,720.20, 1 
416,AHN,Athens/Ben Epps,Athens,GA,895.00,978.86, -   
416,AOO,Altoona-Blair County,Altoona,PA,541.07,591.77, -   
416,BFD,Bradford Regional,Bradford,PA,584.08,638.81, -   
416,BKG,Branson Airport,Branson,MO,263.20,287.87, -   
416,BKW,Raleigh County Memorial,Beckley,WV,495.54,541.97, -   
416,BRL,Southeast Iowa Regional,Burlington,IA,271.00,296.39, -   
416,CIC,Chico Municipal,Chico,CA,356.43,389.83, -   
416,CLD,McClellan-Palomar,Carlsbad,CA,323.97,354.32, -   
416,CYF,Chefornak Airport,Chefornak,AK,516.50,564.90, -   
416,DEC,Decatur Airport,Decatur,IL,373.50,408.50, -   
416,DRT,Del Rio International,Del Rio,TX,521.99,570.90, -   
416,ELY,Ely Airport/Yelland Field,Ely,NV,690.50,755.20, -   
416,FKL,Venango Regional,Franklin/Oil City,PA,501.79,548.81, -   
416,FNL,Northern Colorado Regional,Fort Collins/Loveland,CO,138.31,151.27, -   
416,FOD,Fort Dodge Regional,Fort Dodge,IA,492.10,538.21, -   
416,GBD,Great Bend Municipal,Great Bend,KS,568.00,621.22, -   
416,GYY,Gary/Chicago International,Gary,IN,130.75,143.00, -   
416,HON,Huron Regional,Huron,SD,639.46,699.38, -   
416,IGM,Kingman Airport,Kingman,AZ,415.43,454.36, -   
416,IWD,Gogebic-Iron County,Ironwood,MI,633.32,692.67, -   
416,JBR,Jonesboro Municipal,Jonesboro,AR,579.00,633.25, -   
416,JHW,Chautauqua County/Jamestown,Jamestown,NY,541.36,592.09, -   
416,JST,John Murtha Johnstown-Cambria County,Johnstown,PA,501.01,547.96, -   
416,KLG,Kalskag Airport,Kalskag,AK,1026.00,1122.14, -   
416,KSM,St. Mary's Airport,St. Mary's,AK,618.00,675.91, -   
416,LNS,Lancaster Airport,Lancaster,PA,387.48,423.78, -   
416,LWB,Greenbrier Valley,Lewisburg,WV,438.69,479.80, -   
416,LWT,Lewistown Municipal,Lewistown,MT,575.25,629.15, -   
416,MBL,Manistee County-Blacker,Manistee/Ludington,MI,682.33,746.27, -   
416,MCN,Middle Georgia Regional,Macon,GA,509.11,556.81, -   
416,MCW,Mason City Municipal,Mason City,IA,581.57,636.06, -   
416,MGW,Morgantown Municipal-Walter L. Bill Hart Field,Morgantown,WV,578.44,632.64, -   
416,MLS,Frank Wiley Field,Miles City,MT,477.00,521.69, -   
416,MOD,Modesto City-County-Harry Sham Field,Modesto,CA,394.21,431.15, -   
416,PIP,Pilot Point Airport,Pilot Point,AK,1554.00,1699.61, -   
416,PKB,Mid-Ohio Valley Regional,Parkersburg,WV,570.39,623.83, -   
416,SHD,Shenandoah Valley Regional,Staunton,VA,436.14,477.01, -   
416,SHR,Sheridan County,Sheridan,WY,626.55,685.26, -   
416,SMK,St. Michael Airport,St. Michael,AK,494.00,540.29, -   
416,SNL,Shawnee Regional,Shawnee,OK,412.17,450.79, -   
416,TUP,Tupelo Regional,Tupelo,MS,620.30,678.42, -   
416,VAK,Chevak Airport,Chevak,AK,786.00,859.65, -   
416,VCT,Victoria Regional,Victoria,TX,577.90,632.05, -   
416,VIS,Visalia Municipal,Visalia,CA,481.90,527.06, -   
416,WRL,Worland Municipal,Worland,WY,636.81,696.47, -   
National Average,,,,,374.83,,
"<b>Source:</b>  Bureau of Transportation Statistics, Airline Origin & Destination Survey (10% Sample), DB1B_Ticket where bulk fare equals zero, itinerary fare is greater than or equal to fifty dollars ($50) and itinerary yield is less than or equal to three dollars ($3).",,,,,,,
"Itinerary Fare:  Average fares are based on domestic itinerary fares, round-trip or one-way for which no return is purchased. Fares are based on the total ticket value which consists of the price charged by the airlines plus any additional taxes and fees levied by an outside entity at the time of purchase. Fares include only the price paid at the time of the ticket purchase and do not include other fees, such as baggage fees, paid at the airport or onboard the aircraft. Averages do not include frequent-flyer or 'zero fares' or a few abnormally high reported fares.  Airports* ranked by U.S. originating domestic passengers in 2018.</br><br><b>Note:</b>  The inflation adjustment was performed using Consumer Price Index for All Urban Consumers:  Airline fare (CUUR0000SA0 - U.S. All items, 1982-84=100)</br></br>",,,,,,,
